Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,285601, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 1,834676, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 33, time: 13,10092, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 66, time: 26,38546, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 2,015667, Result: Lose
Type: Multiplayer, Date: 24.05.2020, Name: Alex2, Opponent's name: Alex, steps: 5, time: 12,6004, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 0, time: 1,60817, Result: Lose
Type: SinglePlayer, Date: 24.05.2020, Name: ???, steps: 3, time: 7,318165, Result: Lose
